SKU,Item ID,Publish Status,Product Category,Price,Buy Box Item Price,MSRP,Shipping Weight,WPID,GTIN,Shelf Name,Primary Category Path,Brand,Offer Start Date,Offer End Date,Item Creation Date,Item Last Updated,Reviews Count,Average Rating,Competitor Price,Competitor Ship Price,Competitor Last Date Fetched,Condition,Product Type,Impressions,Clicks,Added to Cart,Sales Rank,Transactability Score,Buy Box Win %
8809844990476,5095564726,PUBLISHED,"Beauty, Personal Care, & Hygiene",18.21,17.9,-1.0,0.5,1NPJPPKYQEI8,100363170195,Dermatologist Recommended Psoriasis Products,"('Home Page', 'Beauty', 'Dermatologist Recommended', 'Dermatologist Recommended Skin Concerns', 'Dermatologist Recommended Psoriasis Products')",Dr. Jart+,06-28-24,12-31-49,03-10-23,10-29-24,0,0.0,19.94,0.0,06-23-24,New,Facial Masks,Very low,Low,Very low,1317,100,0
18084811160,42787978,PUBLISHED,"Beauty, Personal Care, & Hygiene",27.95,26.95,27.5,1.0,5XHUWITGKBQE,18084811160,Premium Hair Styling Products,"('Home Page', 'Premium Beauty', 'Premium Hair Care & Hair Tools', 'Premium Styling Products', 'Premium Hair Styling Products')",Aveda,09-09-24,12-31-49,05-21-16,12-18-24,942,4.6,32.9,0.0,12-16-24,New,Hair Sprays,Very low,Low,Very low,982,0,0
192333148341,9417155961,PUBLISHED,"Beauty, Personal Care, & Hygiene",39.0,39.0,-1.0,0.3,2Z31QMPP2OI0,100144427517,Face Primer,"('Home Page', 'Beauty', 'Makeup', 'Face Makeup', 'Face Primer')",Clinique,10-10-24,12-31-49,10-08-24,12-18-24,0,0.0,39.0,0.0,12-16-24,New,Foundation Primers,Very low,Medium,Very low,-1,100,100
651986410507,501322347,PUBLISHED,"Beauty, Personal Care, & Hygiene",22.99,24.99,59.99,1.0,51BFDX9TJP03,651986410507,All Makeup,"('Home Page', 'Beauty', 'Makeup', 'All Makeup')",Too Faced,03-09-24,12-31-49,09-07-20,12-18-24,17,4.7,54.0,0.0,12-15-24,New,Eye Shadow,Very low,Medium,Very low,86,0,0
7612491130369,13757668950,PUBLISHED,"Beauty, Personal Care, & Hygiene",404.8,404.8,-1.0,1.5,3EVGMJMYGJUW,7612491130369,Sheet Masks,"('Home Page', 'Beauty', 'Skin Care', 'Beauty Face Masks', 'Sheet Masks')",La Colline,10-31-24,12-31-49,10-31-24,10-31-24,0,0.0,408.0,0.0,12-14-24,New,Facial Masks,Very low,Very low,Very low,-1,0,100
887167504905,187920477,PUBLISHED,"Beauty, Personal Care, & Hygiene",150.0,149.5,310.0,1.0,4VPUDL5RSA4W,887167504905,Facial Treatments,"('Home Page', 'Beauty', 'Skin Care', 'Facial Serums and Treatments', 'Facial Treatments')",Estee Lauder,09-24-24,12-31-49,11-05-21,11-22-24,0,0.0,147.77,0.0,09-22-24,New,Face Serums,Very low,Very low,Very low,-1,100,0
887167509221,1674426475,PUBLISHED,"Beauty, Personal Care, & Hygiene",49.5,49.5,-1.0,0.5,49Z3OHM8CBXI,887167509221,Estee Lauder Foundation,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Estee Lauder', 'Estee Lauder Foundation')",Estee Lauder,09-09-24,12-31-49,03-06-22,10-23-24,1,5.0,59.95,0.0,09-13-24,New,Foundation Makeup,Very low,Very low,Very low,3227,100,0
887167676428,5320383433,PUBLISHED,"Beauty, Personal Care, & Hygiene",35.0,24.98,-1.0,0.5,4M3FS430I9JR,887167676428,Estee Lauder Lipstick,"('Home Page', 'Premium Beauty', 'Featured Brands', 'Estee Lauder', 'Estee Lauder Lipstick')",Estee Lauder,09-24-24,12-31-49,12-02-24,06-12-24,0,0.0,21.0,0.0,09-22-24,New,Lipsticks,Very low,Very low,Very low,-1,86,0
KATZACBATHLAVENDERKIDS,24820376,PUBLISHED,"Beauty, Personal Care, & Hygiene",6.32,3.16,5.77,0.2,2LIPJXB1JPMU,51381885960,Aromatherapy Accessories,"('Home Page', 'Health and Medicine', 'Aromatherapy', 'Aromatherapy Accessories')",Aura Cacia,10-14-24,12-31-49,02-28-16,12-17-24,0,0.0,6.32,0.0,12-16-24,New,Bath Soaps,Very low,Very low,Very low,2240,0,0
192333100905,197998263,PUBLISHED,"Beauty, Personal Care, & Hygiene",18.4,14.72,48.61,0.5,4K2XBS6XEDVP,192333100905,Gel Eyeliner,"('Home Page', 'Beauty', 'Makeup', 'Eye Makeup', 'Eyeliner', 'Gel Eyeliner')",Clinique,07-22-24,12-31-49,01-15-22,12-13-24,1,5.0,20.17,-1.0,09-09-24,New,Eyeliner,Very low,Medium,Very low,310,100,0
685428007963,176150972,PUBLISHED,"Beauty, Personal Care, & Hygiene",30.11,23.9,32.0,1.0,6E3KRUVS10DF,685428007963,Premium Hair Styling Products,"('Home Page', 'Premium Beauty', 'Premium Hair Care & Hair Tools', 'Premium Styling Products', 'Premium Hair Styling Products')",Bumble and bumble,08-30-24,12-31-49,04-06-16,12-18-24,8,4.5,37.0,0.0,11-14-24,New,Hair Sprays,Very low,Low,Very low,677,0,0
